REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
927,Lajedo do Ouro,Brazil,2012,Brazil,Catongo,70%,,"floral, caramel",3.5
327,Lake Champlain (Callebaut),U.S.A.,2009,Tanzania,Tanzania,75%,,"dry, roasty, toffee",2.5
552,Machu Picchu Trading Co.,Peru,2010,Peru,Peru,55%,,"extremely sweet, vanilla",2.25
721,Machu Picchu Trading Co.,Peru,2011,Peru,Peru,70%,,"vanilla, strong chemical",1.5
537,Mars,U.S.A.,2010,Costa Rica,"Matina 1-6, prototype",65%,,"intense orange, floral",3
544,Mars,U.S.A.,2010,Ivory Coast,"Ivory Coast, prototype",65%,,"chewy, earthy, spicy",3
544,Mars,U.S.A.,2010,Nigeria,"Nigeria, prototype",65%,,"cocoa, earth, wheat",3.25
544,Mars,U.S.A.,2010,Ghana,"Ghana, prototype",65%,,"intense, dark berry, cocoa",3.5
955,Mita,Colombia,2012,Colombia,Tumaco,65%,,"vanilla, artificial, sweet",2.5
486,Artisan du Chocolat,U.K.,2010,Venezuela,Venezuela,100%,,"very nutty, very bitter",1.75
1391,Monsieur Truffe,Australia,2014,Papua New Guinea,Papaua New Guinea,70%,,"smoke, ham, sour milk",3.25
1654,Montecristi,Ecuador,2015,Ecuador,Manabi,70%,,"spicy, smoke, sour",3.25
1654,Montecristi,Ecuador,2015,Ecuador,Manabi,63%,,"spicy, sweet, fragrant",3.5
1658,Montecristi,Ecuador,2015,Ecuador,Manabi,85%,,"spicy, fragrant, bitter",3.5
1007,Nanea,U.S.A.,2013,U.S.A.,Criollo Blend,85%,,"sandy, spicy, earthy",3.5
837,Noir d' Ebine,U.S.A.,2012,Venezuela,Venezuela,70%,,"sweet, candy like, dairy",3
841,Noir d' Ebine,U.S.A.,2012,Ecuador,Ecuador,70%,,"sweet, spicy, cocoa",3
266,Pacari,Ecuador,2008,Ecuador,Raw,100%,,"bitter, earthy",2
565,Rancho San Jacinto,Ecuador,2010,Ecuador,Ecuador,75%,,slightly dry and super spicey,3
867,Raw Cocoa,Poland,2012,Peru,Raw,70%,,"smooth, green, vegetal",2.5
923,Rococo (Grenada Chocolate Co.),U.K.,2012,Grenada,"Gru Grococo, St. Andrews",66%,,"earthy, mild nutty",3.5
615,S.A.I.D.,Italy,2010,Blend,100 percent,100%,,"sticky, intense, very bitter",1.5
615,S.A.I.D.,Italy,2010,Dominican Republic,Samana,70%,,"fudgey, astringent, sour",3
607,S.A.I.D.,Italy,2010,Madagascar,Malgascio,64%,,"sandy, subtle fruit then cocoa",3.5
615,S.A.I.D.,Italy,2010,Blend,"Carribean, Arawak",72%,,"fatty, cocoa, nutty",3.5
615,S.A.I.D.,Italy,2010,Blend,Latino,72%,,"sandy, sweet, spice",3.5
911,Sibu Sura,U.S.A.,2012,Peru,Peru,70%,,"sandy, sweet, vanilla",2.5
915,TCHO,U.S.A.,2012,Blend,"Peru, Ecuador",99%,,"spicy, ginger, bitter",3.25
895,Tobago Estate (Pralus),France,2012,Tobago,"Roxborough, Tobago",70%,,"smooth, wild berries",4
753,Tsara (Cinagra),Madagascar,2011,Madagascar,"Ambanja, Tsara Valley",72%,,"cocoa, mild fruit",3.5
709,Un Dimanche A Paris,France,2011,Dominican Republic,Dominican Republic,63%,,spicy and rich,3.75
963,Vanleer (Barry Callebaut),U.S.A.,2012,Ghana,Manhattan,72%,,"sour vanila, heavy roast",2.5
963,Vanleer (Barry Callebaut),U.S.A.,2012,Ghana,Napa,65%,,"oily, caramel ""rolo"", sweet",2.75
404,Vao Vao (Chocolaterie Robert),Madagascar,2009,Madagascar,Madagascar,70%,,"oily, fatty, citrus",3
404,Vao Vao (Chocolaterie Robert),Madagascar,2009,Madagascar,Madagascar w/ nibs,68%,,"oily, nutty, fatty",3
404,Vao Vao (Chocolaterie Robert),Madagascar,2009,Madagascar,Madagascar,64%,,"sandy, mild citrus, sweet",3.25
153,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",100%,,"bland, mild fruit, strong bitter",2
153,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",90%,,"some fruit, strong bitter",2
153,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",75%,,"cocoa,earthy,very astringent",3
733,Whittakers,New Zealand,2011,Ghana,Ghana,72%,,"sticky, dry, vanilla dominates",2.5
1109,Willie's Cacao,U.K.,2013,Indonesia,"Java, Indonesian Black",100%,,"fruit, strong smoke, bitter",2.25
81,Bonnat,France,2006,Blend,One Hundred,100%,,"acidic, bitter, dry",1.5
341,Bouga Cacao (Tulicorp),Ecuador,2009,Ecuador,"El Oro, Hacienda de Oro",100%,,"cardboard, very bitter, floral",1.5
1267,Bowler Man,U.S.A.,2014,Belize,Maya Mountain,70%,,"sandy, vanilla, candy-like",2.75
1271,Bowler Man,U.S.A.,2014,Dominican Republic,Conacado,70%,,"gritty, sweet, mild coffee",2.75
2084,Cacaodada,South Korea,2018,Ghana,Ghana,70%,,"high astringent, earthy",3
2084,Cacaodada,South Korea,2018,Dominican Republic,Dominican Republic,70%,,"creamy, complex, astingent",3.25
2084,Cacaodada,South Korea,2018,Ecuador,Ecuador,70%,,"floral, rum",3.5
141,Callebaut,Belgium,2007,Ecuador,Baking,70%,,"bitter, cocoa",1
296,Callebaut,Belgium,2008,Grenada,Grenade,60%,,"sweet, metallic, vanilla",2.75
404,Cemoi,France,2009,Ecuador,Equateur,72%,,"sticky, mild mint, bitter",2.75
672,Chloe Chocolat,France,2011,Blend,Blend No. 1,70%,,"cocoa, subtle peanut butter",3.5
1454,ChocoReko,Japan,2015,Venezuela,Patanemo,77%,,"coarse, vegetal, nibby",3
682,Chocosol,Canada,2011,Mexico,"Chiapas, Lacandon Jungle, Oaxacom Mtn",65%,,"rustic,sweet, brownie, banana",3.25
666,Christopher Morel (Felchlin),Canada,2011,Peru,"Maranon Canyon, Fortunato No. 4",68%,,"oily, citrus, orange",3.75
252,Claudio Corallo,Sao Tome,2008,Blend,"Principe, Sao Tome & Principe",100%,,"chalky, musty, very bitter",1
292,Compania de Chocolate (Salgado),Argentina,2008,Venezuela,Carenero Superior,80%,,"very sour, mildly bitter",2.75
296,Compania de Chocolate (Salgado),Argentina,2008,Ecuador,Esmeraldas,88%,,"slightly burnt, mildly bitter",2.75
292,Compania de Chocolate (Salgado),Argentina,2008,Bolivia,Moxos,72%,,"dry, coffee, sour",3.25
292,Compania de Chocolate (Salgado),Argentina,2008,Venezuela,Ocumare,70%,,"minty, nutty, nutmeg",3.75
579,Compania de Chocolate (Salgado),Argentina,2010,Venezuela,Sur del Lago,70%,,cocoa then roasted nut,3.25
817,Coppeneur,Germany,2012,Ecuador,Ecuador Puristique,100%,,high intensity bitter,1.5
48,Cote d' Or (Kraft),Belgium,2006,Blend,Sensations Intense,70%,,this is not chocolate,1
311,Dole (Guittard),U.S.A.,2009,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate",70%,,"creamy, nutty, fruity",3.75
1109,Domori,Italy,2013,Venezuela,"IL100, H. San Jose, batch NDL3A01",100%,,"smooth, fruit, coffee, bitter",3
841,Durand,France,2012,Madagascar,Madagascar,82%,,"fatty, muted",2.75
1964,Amazing Cacao,Russia,2017,Peru,Maranon,70%,,"raisins, pungent",3
565,Enric Rovira (Claudio Corallo),Spain,2010,Blend,"Terreiro Velho P., Sao Tome & Principe",80%,,"unrefined, crumbly, sweet",3.25
1964,Amazing Cacao,Russia,2017,Peru,Platan Bajo,70%,,"few grits, blackcherry, licorice",3.5
1113,Hotel Chocolat (Coppeneur),U.K.,2013,Ecuador,"Los Rios, H. Iara, 2012, 120hr c., batch 13092",100%,1- B,"candy,uncontrolled bitterness",2.5
1760,Ocho,New Zealand,2016,Samoa,Sang Yum Coop,100%,1- B,"bitter, intense, nutty",2.75
2582,Odyssey,U.S.A.,2021,Blend,"Elegant Asian Blend"", Vietnam, India",100%,1- B,"sharp fruit, intense, sl. Sour",3
1502,Sirene,Canada,2015,Madagascar,"Somia Plantation, 2012",100%,1- B,"creamy, tart, bitter",3
1506,Sirene,Canada,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2012",100%,1- B,"floral, bourbon, bitter",3
1185,C-Amaro,Italy,2013,Ecuador,Ecuador,100%,1- B,"fatty, controlled bitter, fruit",3.5
202,Pralus,France,2008,Madagascar,"Sambirano Valley, Le 100%",100%,"2- B,C","fatty, mild fruit, bitter, smoke",3
1912,Friis Holm,Denmark,2016,Nicaragua,"Rugoso, Bad Fermentation",70%,"2- B,S","vegetal, herbs, raw",3.5
1780,Fruition,U.S.A.,2016,Bolivia,"Wild Bolivian, Batch 2",74%,"2- B,S","oily, tropical",3.75
1780,Fruition,U.S.A.,2016,Costa Rica,"Coto Brus, Heirloom, Batch 1",74%,"2- B,S","oily, dried fruit, leather",4
2366,Fruition,U.S.A.,2019,Colombia,"Tumaco, batch 2",85%,"2- B,S","black current,bitter,astringent",3.5
2278,Fruition,U.S.A.,2019,Madagascar,"Sambirano, Akessons, batch 1",74%,"2- B,S","balanced, fruit, nut, roasty",3.75
2550,Fruition,U.S.A.,2021,Dominican Republic,"Los Bejucos, batch 1",77%,"2- B,S","sl. bitter up front, fatty, intense",3.25
2190,Fu Wan,Taiwan,2018,Madagascar,Madagascar,70%,"2- B,S","grainy texture, sour, hammy",3
2202,Fu Wan,Taiwan,2018,Tanzania,Tanzania,70%,"2- B,S","accessible, sweet, sandy",3
1672,Glennmade,U.S.A.,2015,Brazil,Bahia,66%,"2- B,S","mild woody, black licorice",3
1848,Glennmade,U.S.A.,2016,Belize,"Toledo District, 2015 Harvest",70%,"2- B,S","mild strawberry, cocoa",3.5
2194,Gotham,U.S.A.,2018,Belize,Maya Mtn,70%,"2- B,S","fruit, tart, rubber",2.75
2642,Gotham,U.S.A.,2021,India,"Idukki Hills, ""Adventurous""",70%,"2- B,S","sweet, dominate cocoa, spice",3
2642,Gotham,U.S.A.,2021,Bolivia,"Alto Beni, ""Wild""",70%,"2- B,S",spice/herb dominate cocoa base,3.25
2644,Gotham,U.S.A.,2021,Dominican Republic,Oko Caribe,70%,"2- B,S","sandy, sweet, earthy,deep cocoa",3.25
1896,Green Bean to Bar,Japan,2016,Madagascar,Madagascar,70%,"2- B,S","rich, coffee, cherry",3.5
2382,Green Bean to Bar,Japan,2019,Peru,Nativo Blanco,73%,"2- B,S","sour grapes, pungent, ashey",2.5
2606,Hecho,Mexico,2021,Mexico,"Soconusco, La Rioja Farm, Chiapas",70%,"2- B,S","delicate, carame, tang",3.5
1259,Anahata,U.S.A.,2014,Dominican Republic,Elvesia,75%,"2- B,S","chalky, mild fruit, burnt",3
1852,Animas,U.S.A.,2016,Bolivia,Alto Beni,75%,"2- B,S","light roast, caramel, cocoa",3.5
2614,Hemisphere,U.S.A.,2021,Ecuador,"Esmeraldas, Muisne Estate",70%,"2- B,S","harsh, earthy, dirty",2.75
2614,Hemisphere,U.S.A.,2021,Nicaragua,"Matagalpa, El Tuma region",70%,"2- B,S","delicate fruit, black tea",3.25
2586,Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",75%,"2- B,S","burnt toast, cherry",3
2586,Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75%,"2- B,S","orange citrus, harsh earthiness",3.25
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Manabi,80%,"2- B,S","sandy, perfume, nutty",2.5
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Arriba,72%,"2- B,S","dry, floral, slight musty",3
431,Holy Cacao,Israel,2009,Ivory Coast,Ivory Coast,70%,"2- B,S","dry, sour, cheesey, off",2.5
431,Holy Cacao,Israel,2009,Dominican Republic,Hispaniola,70%,"2- B,S","sandy, red berry, sour",2.75
431,Holy Cacao,Israel,2009,Peru,San Martin,70%,"2- B,S","coffee, red berry, tart",3.5
431,Holy Cacao,Israel,2009,Dominican Republic,Hispaniola w/ nibs,75%,"2- B,S","red berry, cocoa, mild coffee",3.75
1030,Hotel Chocolat,U.K.,2013,St. Lucia,"Marcial, single Cote, 2012",70%,"2- B,S",cardamon,4
1654,Hotel Chocolat,U.K.,2015,St. Lucia,"Pepiniere, single Cote",70%,"2- B,S","smoke, cocoa, fruit, fuel",2.75
1065,Hotel Chocolat (Coppeneur),U.K.,2013,Ecuador,"Los Rios, H. Iara",90%,"2- B,S","oily, leathery, intense bitter",3
1065,Hotel Chocolat (Coppeneur),U.K.,2013,Ecuador,"Los Rios, H. Iara, 2012",82%,"2- B,S","oily, spicy, sl. Burnt",3.5
1602,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,75%,"2- B,S","floral, chemical off",2.75
1602,Arete,U.S.A.,2015,Guatemala,Guatemala,70%,"2- B,S","strawberry, butterscotch, off",3.25
1279,Isidro,U.S.A.,2014,Peru,"Peru, batch 25",72%,"2- B,S","off notes, pungent",2.25
1279,Isidro,U.S.A.,2014,Belize,"Belize, batch 26",72%,"2- B,S","mild metallic, spice, tea",3.25
1534,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,70%,"2- B,S","creamy, rich, rum, roasty",3.5
1279,Isidro,U.S.A.,2014,Dominican Republic,"Dominican Republic, batch 30",72%,"2- B,S","roasty, nutty, spicy",3.25
1275,Isidro,U.S.A.,2014,Madagascar,"Madagascar, batch 27",72%,"2- B,S","intense, tart, earthy",3.5
1546,Izard,U.S.A.,2015,Dominican Republic,"Elvesia P., Batch 32",70%,"2- B,S","intense, molasses, fruit",2.75
1542,Izard,U.S.A.,2015,Belize,"Maya Mountain, Toledo, Batch 29",70%,"2- B,S","intense, cherry, rich, metallic",3.5
1534,Arete,U.S.A.,2015,Peru,Nacional,68%,"2- B,S","floral, nutty, rich cocoa",3.5
1534,Jordis,Czech Republic,2015,Madagascar,Madagascar,63%,"2- B,S","off note, vanilla, basic cocoa",2.75
1598,Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,70%,"2- B,S","spicy, brownie, nutty",3.5
1534,Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",70%,"2- B,S","spicy, cocoa",3.75
1598,Arete,U.S.A.,2015,Belize,Maya Mountain,70%,"2- B,S","floral, strawberry, metallic",3.75
1251,Kiskadee,U.S.A.,2014,Dominican Republic,"La Red, Guanconjeco",60%,"2- B,S","gritty, overly sweet, citrus",3
1968,Krak,Amsterdam,2017,Belize,Belize,70%,"2- B,S","gritty, sour, berries",3
1968,Krak,Amsterdam,2017,Vietnam,Vietnam,70%,"2- B,S","sticky, molasses, sour",3
2016,Krak,Amsterdam,2017,Mexico,Xoconusco,70%,"2- B,S","medium roast, nutty",3.25
2064,Krak,Amsterdam,2018,Madagascar,Mava Sa Ferme D'ottange,70%,"2- B,S","roasty, nutty",3
1598,Arete,U.S.A.,2015,Nicaragua,Chuno,70%,"2- B,S","creamy,sticky, peanut butter",4
2068,Krak,Amsterdam,2018,Philippines,Kablon Farm,70%,"2- B,S","nuts, dried fruit, grassy",3.25
2044,Krak,Amsterdam,2018,Mexico,"Xoconusco, triple turned",70%,"2- B,S","intense, high acidity",3.75
2286,Krak,Netherlands,2019,Colombia,H. Betulia B6,70%,"2- B,S","light color,",3
2282,Krak,Amsterdam,2019,Papua New Guinea,Gazelle,70%,"2- B,S","astringent, smomkey cocoa",3.25
1422,Kto,U.S.A.,2014,Peru,San Martin,72%,"2- B,S","intense, pungent, tangy",2.5
1426,Kto,U.S.A.,2014,Belize,Belize,90%,"2- B,S","intense, spicy, pungent",3.25
1928,Arete,U.S.A.,2016,Fiji,Matasawalevu,70%,"2- B,S","smoke, hammy, cocoa base",3.25
2138,La Chorena,U.S.A.,2018,Dominican Republic,Oko Caribe,70%,"2- B,S","anise, spicy, earthy",3
2138,La Chorena,U.S.A.,2018,Peru,Maranon,75%,"2- B,S","earthy, molasses, dried fruit",3
2138,La Chorena,U.S.A.,2018,Guatemala,"Lachua, Cacao Verapaz",70%,"2- B,S","tart, molasses, grits",3.25
2254,La Feverie (Hasnaa),France,2018,Belize,"Maya Mtn, 2017 harvest",70%,"2- B,S","fruit, cocoa, grape",3.5
2254,La Feverie (Hasnaa),France,2018,Guatemala,"Asochivite, 2017 harvest",70%,"2- B,S","dry, melon, cocoa",3.5
2358,La Feverie (Hasnaa),France,2019,Peru,"Piura Blanco, 2018 harvest",72%,"2- B,S","sandy, grapes",3.5
1928,Arete,U.S.A.,2016,Vietnam,Lam Dong,73%,"2- B,S","earthy, nutty, cardboard",3.25
1724,Arete,U.S.A.,2016,Trinidad,San Juan,70%,"2- B,S","delicate, simple",3.5
2186,La Rifa,Mexico,2018,Mexico,"Xoconusco, Chiapas, Coop CASFA",70%,"2- B,S","mild hammy, roasty, sour",3
2182,La Rifa,Mexico,2018,Mexico,"Almendra Blanca, Blanco Marfil, Jimenez Garcia",70%,"2- B,S","rich cocoa, mild fruit & nut",3.5
2186,La Rifa,Mexico,2018,Mexico,"Uranga, Chiapas, Jimenez Garcia farm",70%,"2- B,S","citrus,prononced orange",3.5
1904,Arete,U.S.A.,2016,Guatemala,Lachua,70%,"2- B,S","subtle, mysterious",3.5
1784,L'Amourette,U.S.A.,2016,Nicaragua,Rugoso,80%,"2- B,S","spicy, grassy, roasty",3.5
1371,Letterpress,U.S.A.,2014,Peru,Maranura,70%,"2- B,S","intense, sticky, cocoa",3.5
1566,Letterpress,U.S.A.,2015,Costa Rica,San Andres,70%,"2- B,S","roasty, black pepper, woody",3
1908,Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",70%,"2- B,S","nutty, green",3.5
1562,Letterpress,U.S.A.,2015,Bolivia,Beniamo,70%,"2- B,S","dried fruit, nutty, mushroom",3.25
1566,Letterpress,U.S.A.,2015,Dominican Republic,"La Red, Guaconejo",70%,"2- B,S","red fruit, brownie",3.25
1562,Letterpress,U.S.A.,2015,Trinidad,"San Juan Estate, Gran Couva",70%,"2- B,S","cocoa, spice, fruit",3.5
1566,Letterpress,U.S.A.,2015,Tanzania,Kokoa Kamili,70%,"2- B,S","subtle, spicy, banana",3.5
1728,Letterpress,U.S.A.,2016,Liberia,Liberia,70%,"2- B,S","floral, black licorice",3.25
1952,Letterpress,U.S.A.,2017,Belize,"Maya Mtn, Batch 18, Heirloom",70%,"2- B,S","smokey, mild berry",3.25
1952,Letterpress,U.S.A.,2017,Honduras,"La Masica, Batch 7, FHIA",70%,"2- B,S","strong raspberry, mocha",3.5
1724,Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,70%,"2- B,S","appealing smoke, woody",3.75
1856,Lilla,Finland,2016,Madagascar,Madagascar,70%,"2- B,S","sweet edge, bright fruit, off",3
947,Lillie Belle,U.S.A.,2012,Blend,"Purple Haze, Venezuela, Dom. Rep.",75%,"2- B,S","grits, roasted, nutty",2.75
947,Lillie Belle,U.S.A.,2012,Dominican Republic,"The Other One, Grand Cru",74%,"2- B,S","fatty, roasty, cocoa",3
855,Lillie Belle,U.S.A.,2012,Peru,Perfect Illusion,65%,"2- B,S","creamy, strawberry, cocoa",3.5
903,Lillie Belle,U.S.A.,2012,Bolivia,"Bolivia, Wild Thing",68%,"2- B,S","fatty, nutty, melon like",3.5
947,Lillie Belle,U.S.A.,2012,Bolivia,Wild Thing,68%,"2- B,S","fatty, grassy, cocoa",3.5
903,Lillie Belle,U.S.A.,2012,Peru,La Selva,68%,"2- B,S","rich cocoa, spicy edge",3.75
2538,Lirio,U.S.A.,2020,Sierra Leone,"Gola Rainforest, batch 920",72%,"2- B,S","grassy, rubbery, chemical",2.5
2538,Lirio,U.S.A.,2020,India,"Anamalai, batch 970",72%,"2- B,S","basic cocoa, dirty/burnt edge",3
2538,Lirio,U.S.A.,2020,Vietnam,"Tien Giang, batch 970",72%,"2- B,S","spicy, sweet, cocoa",3
1928,Arete,U.S.A.,2016,Dominican Republic,Elvesia,70%,"2- B,S","dark berry, chocolatey",3.75
1383,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa, Lonohana E., Kanahiku",70%,"2- B,S","spicy, candied, complex",3.75
1502,Love Bar,U.S.A.,2015,Nicaragua,Nicaragua,75%,"2- B,S","multiple off flavors, metallic",2
2194,Love Brown,Taiwan,2018,Nicaragua,Medalla,75%,"2- B,S",potting soil,2.5
2194,Love Brown,Taiwan,2018,Sumatra,Sumatra,70%,"2- B,S","smokey, earthy, cocoa",3
2198,Love Brown,Taiwan,2018,Nicaragua,O'Payo,80%,"2- B,S","nutty, mild dairy",3.25
2198,Love Brown,Taiwan,2018,Nicaragua,Chuno,78%,"2- B,S",intense mocha flavor,3.5
1976,Luisa Abram,Brazil,2017,Brazil,"Rio Purus, 2016 Harvest",81%,"2- B,S","oily, burnt, earthy",3.25
1908,Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",70%,"2- B,S","balanced, cherry, choco",4
2238,Luisa Abram,Brazil,2018,Brazil,"Rio Acara, Wild Amazon",70%,"2- B,S","rustic, basic cocoa, earthy",3
1924,Arete,U.S.A.,2016,Peru,Phantom,70%,"2- B,S","creamy, complex, balanced",4
2020,Arete,U.S.A.,2017,India,Anamalai,70%,"2- B,S","slight roasty, basic cocoa",3.5
2664,Madhu,U.S.A.,2021,Colombia,Tumaco,70%,"2- B,S","very sticky, nutty, woody",2.5
1940,Madre,U.S.A.,2017,Solomon Islands,Guadalcanal,73%,"2- B,S","mild earthy, mild cocoa, nut",3.5
1446,Mana,U.S.A.,2015,Ecuador,"Ecuador, batch 1212",74%,"2- B,S","soil, wet, off notes",2.5
871,Manufaktura Czekolady,Poland,2012,Dominican Republic,Grand Cru Dominican Republic,70%,"2- B,S","chewy, brownie like",3.25
875,Manufaktura Czekolady,Poland,2012,Ecuador,Grand Cru Ecuador,70%,"2- B,S","grits, roaste brownie",3.25
2024,Arete,U.S.A.,2017,Bolivia,Beniano,70%,"2- B,S","creamy, bright fruit",4
871,Manufaktura Czekolady,Poland,2012,Ghana,Grand Cru Ghana,70%,"2- B,S","cocoa, coconut",3.5
1279,Manufaktura Czekolady,Poland,2014,Colombia,Kolumbia,85%,"2- B,S","coarse, intense, nutty",3.5
1255,Manufaktura Czekolady,Poland,2014,Venezuela,Porcelana,70%,"2- B,S","nutty, intense, roasty",3.75
2028,Arete,U.S.A.,2017,Haiti,Pisa,70%,"2- B,S","long lasting, cocoa",4
1956,Map Chocolate,U.S.A.,2017,Vietnam,"Lam Dong, ""Red Poppy""",73%,"2- B,S","earthy, tobacco, ashey",3
2068,Arete,U.S.A.,2018,Trinidad,Ramnath E.,70%,"2- B,S","nuts, dried fruit, short",3
1808,Marigold's Finest,Canada,2016,Blend,Cacao Nib Crunch,75%,"2- B,S","earthy, coffee, roasty",3.25
2158,Markham & Fitz,U.S.A.,2018,Haiti,"Pisa, batch 58",75%,"2- B,S","dried fruit, woody, dirty",2.75
2254,Arete,U.S.A.,2018,Colombia,Tumaco,70%,"2- B,S","smooth, nutty, cocoa",4
1650,Marou,Vietnam,2015,Vietnam,"Tan Phu Dong Island, Heart of Darkness",85%,"2- B,S","long, mild honey, rich cocoa",3.25
1650,Marou,Vietnam,2015,Vietnam,Ben Tre,68%,"2- B,S","roasty, rich, coffee, nut",3.5
1650,Marou,Vietnam,2015,Vietnam,"Dak Lak, Batch 2451",70%,"2- B,S",spicy and fragrant,3.75
572,Mast Brothers,U.S.A.,2010,Venezuela,Patanemo,81%,"2- B,S","sticky, woody, musty",2.75
572,Mast Brothers,U.S.A.,2010,Venezuela,Ocumare de la Costa,75%,"2- B,S","dry, sticky, nutty, earthy",3
572,Mast Brothers,U.S.A.,2010,Dominican Republic,"Dominican Republic, Coop",70%,"2- B,S","sticky, earthy, coffee",3.25
713,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Light Roast",81%,"2- B,S","gritty, high astringent, sour",2.75
777,Mast Brothers,U.S.A.,2011,Papua New Guinea,Papua New Guinea,71%,"2- B,S","gritty, sticky, smoke,hammy",2.75
701,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Med. Roast",76%,"2- B,S","sandy, strawberry, sour",3
709,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Dark Roast",70%,"2- B,S","dry, sandy, intense, berry",3
777,Mast Brothers,U.S.A.,2011,Peru,San Martin,75%,"2- B,S","orange,lemon,coffee ground",3
777,Mast Brothers,U.S.A.,2011,Dominican Republic,Conacado,73%,"2- B,S","dry, gritty, red berry, coffee",3.25
672,Mast Brothers,U.S.A.,2011,Blend,Brooklyn Blend,72%,"2- B,S","rich cocoa, coffee, roasty",3.5
773,Mast Brothers,U.S.A.,2011,Belize,Moho River,70%,"2- B,S","gritty, tangy, cocoa",3.5
777,Mast Brothers,U.S.A.,2011,Dominican Republic,"La Red de Guanconejo, N. Highlands coop",74%,"2- B,S","gritty, raspberry, sour",3.75
999,Mast Brothers,U.S.A.,2012,Blend,Madagascar,72%,"2- B,S","gritty, overly tart, sour",2.5
2166,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70%,"2- B,S","cocoa, earthy, hammy",3
999,Mast Brothers,U.S.A.,2012,Venezuela,Chuao,73%,"2- B,S","gritty, sour, sweet",2.75
